1 Facility Name,2 Street Address,3 city,4 state,5 ZIP Code,6 Phone,7 Designation,acr_site_id,facility_id,Registry Participant
DCMH / Broom - Master,501 N Lansdowne Ave,Drexel Hill,PA,19026-1114,610-284-8528,Lung Cancer Screening Designated Site,10063152,106364,YES
Redmond Regional Medical Center,501 Redmond Rd NW,Rome,GA,30165-1415,706-802-3040,LCSR,10069966,105748,YES
Colleton Medical Center,501 Robertson Blvd,Walterboro,SC,29488-2787,843-847-4885,Lung Cancer Screening Designated Site,10066253,105115,YES
Providence St Joseph Medical Center - Burbank,501 S Buena Vista St,Burbank,CA,91505-4809,818-847-4108,LCSR,10065252,110865,YES
Bladen County Hospital,501 S Poplar St,Elizabethtown,NC,28337-9375,910-862-5168,Lung Cancer Screening Designated Site,10061204,115097,YES
East Texas Medical Center Jacksonville,501 S Ragsdale St,Jacksonville,TX,75766-2434,903-657-7541,LCSR,10076847,106240,YES
ChristianaCare Imaging- Wilmington Hospital,501 W 14th St,Wilmington,DE,19801-1013,302-320-2251,LCSR,10062696,114473,YES
Astria Toppenish Hospital,502 W 4th Ave,Toppenish,WA,98948-1616,509-865-1650,LCSR,10091199,115163,YES
Helen Newberry Joy Hospital,502 W Harrie St,Newberry,MI,49868-1209,906-293-9102,LCSR,10073557,110849,YES
Citrus Memorial Hospital,502 W Highland Blvd,Inverness,FL,34452-4720,352-344-6696,LCSR,10063689,104822,YES
Coastal Imaging,503 Eisenhower Dr,Savannah,GA,31406-2668,912-355-6255,Lung Cancer Screening Designated Site,10077638,115923,YES
Glenwood Regional Medical Center,503 McMillan Rd,West Monroe,LA,71291-5327,318-329-4574,LCSR,10077086,105904,YES
Community Radiology Mt Airy,504 E Ridgeville Blvd Ste 130,Mount Airy,MD,21771-5942,443-436-1106,Lung Cancer Screening Designated Site,10068455,114448,YES
Raleigh Radiology Oberlin,505 Oberlin Rd Ste 110,Raleigh,NC,27605-1345,919-781-1437,LCSR,10104723,116028,YES
Woodland Heights Medical Center,505 S John Redditt Dr,Lufkin,TX,75904-3120,936-634-8311,LCSR,10062875,104498,YES
Orange Radiology and MRI of Monroe,505 State Route 208,Monroe,NY,10950-1608,845-783-3304,LCSR,10062042,105671,YES
Brown Clinic PLLP,506 1st Ave SE,Watertown,SD,57201-4402,605-884-4225,LCSR,10075435,112144,YES
Harlem Hospital,506 Malcolm X Blvd,New York,NY,10037-1802,212-939-1000,LCSR,10064540,103982,YES
Sumner County AVC Family Care Center,507 E 16th St,Wellington,KS,67152-2805,620-326-3301,LCSR,10074524,115831,YES
Pender Memorial Hospital,507 E Fremont St,Burgaw,NC,28425-5131,910-259-0700,Lung Cancer Screening Designated Site,10086226,104696,YES
Frick Hospital,508 S Church St,Mt Pleasant,PA,15666-1702,724-834-3582,Lung Cancer Screening Designated Site,10068741,102147,YES
Mission Hospital,509 Biltmore Ave,Asheville,NC,28801-4601,828-213-1111,LCSR,10063912,103728,YES
Johnston Medical Center-Smithfield,509 N Brightleaf Blvd,Smithfield,NC,27577-4407,919-934-8171,Lung Cancer Screening Designated Site,10066668,14114,YES
Inspira Medicine Center Woodbury,509 N Broad St,Woodbury,NJ,08096-1617,856-641-6024,LCSR,10074136,103992,YES
Davis County Hospital,509 N Madison St,Bloomfield,IA,52537-1271,641-664-7139,LCSR,10084011,109275,YES
NHUVA Outpatient Imaging Culpeper,509 S Main St,Culpeper,VA,22701-3155,540-881-0129,LCSR,10073815,115696,YES
Freeman Regional Health Systems,510 E 8th St,Freeman,SD,57029-2086,605-925-4000,LCSR,10081331,114238,YES
Cherry County Hospital,510 N Green St,Valentine,NE,69201-1932,402-376-2525,LCSR,10064163,115926,YES
Owensboro Health Madisonville Healthplex,510 Ruby Dr,Madisonville,KY,42431-2168,270-399-7900,LCSR,10072048,102282,YES
Fulton Medical Center,510 S 4th St,Fulton,NY,13069-2951,315-592-3580,Lung Cancer Screening Designated Site,10067264,104310,YES
Hoag Health Center Newport Beach,510 Superior Ave Ste 100,Newport Beach,CA,92663-3665,949-764-7117,LCSR,10060037,105447,YES
Radiology Associates of Venice,512 -516 Nokomis Avenue South,Venice,FL,34285,941-488-7781,LCSR,10085466,105113,YES
Brookwood Diagnostic Center,513 Brookwood Blvd,Birmingham,AL,35209-6862,205-802-6826,LCSR,10063398,114886,YES
North Shore Health,515 5th Ave W,Grand Marais,MN,55604-3017,218-387-3268,LCSR,10082069,115780,YES
SSM Health Monroe Hospital,515 22nd Ave,Monroe,WI,53566-1569,608-324-1344,LCSR,10064386,101469,YES
East River Medical Imaging Associates PC,515 & 519 & 523 East 72nd Street Suite 103,New York,NY,10021,212-288-1575,Lung Cancer Screening Designated Site,10070655,6998,YES
MercyOne Cedar Falls Medical Center,515 College St,Cedar Falls,IA,50613-2500,319-268-3000,LCSR,10069329,103608,YES
Olean General Hospital,515 Main St,Olean,NY,14760-1513,716-375-6254,LCSR,10062173,109231,YES
Swedish SMG First Hill CT,515 Minor Ave Ste 110,Seattle,WA,98104-2145,206-386-9563,Lung Cancer Screening Designated Site,10064480,114875,YES
Audubon County Memorial Hospital,515 Pacific Ave,Audubon,IA,50025-1056,712-563-2611,LCSR,10069230,114779,YES
MidMichigan Medical Center-Gladwin,515 Quarter St,Gladwin,MI,48624-1959,989-426-9286,LCSR,10072437,104952,YES
United Hospital District,515 S Moore St,Blue Earth,MN,56013-2158,507-526-7959,LCSR,10071289,116023,YES
AMI-Atlanticare,517 Route 72 W,Manahawkin,NJ,08050-2821,732-384-7729,Lung Cancer Screening Designated Site,10107441,224941,YES
Schaumburg Imaging Center,519 S Roselle Rd,Schaumburg,IL,60193-2925,847-985-0600,Lung Cancer Screening Designated Site,10062278,114236,YES
Weill Cornell Imaging at NewYork - Presbyterian,520 E 70th St,New York,NY,10021-9800,212-746-6000,Lung Cancer Screening Designated Site,10104560,13620,YES
Reading Hospital Radiology Department-Main,520 S 5th Ave,West Reading,PA,19611,484-628-8108,LCSR,10069350,101098,YES
Good Samaritan Hospital,520 S 7th St,Vincennes,IN,47591-1038,812-885-3627,Lung Cancer Screening Designated Site,10064794,101052,YES
St Lukes Meridian,520 S Eagle Rd,Meridian,ID,83642-6351,208-381-2222,Lung Cancer Screening Designated Site,10061580,106989,YES
ROPH,520 S Maple Ave,Oak Park,IL,60304-1022,708-660-6671,LCSR,10065520,109171,YES
Good Samaritan Hospital,520 South 7th Street Breast Care Center,Vincennes,IN,47591,,Lung Cancer Screening Designated Site,10081746,4055,NO
Eastern Niagara Hospital,521 East Ave,Lockport,NY,14094-3201,716-514-5624,LCSR,10060359,116161,YES
Eastern Niagara Hospital-Lockport Site,521 East Avenue Attn: Radiology,Lockport,NY,14094,716-514-5623,Lung Cancer Screening Designated Site,10087406,13839,YES
Florida Cancer Specialists - Lecanto,521 N Lecanto Hwy,Lecanto,FL,34461-9187,352-746-0707,LCSR,10096292,107579,YES
St Josephs Medical Center,523 N 3rd St,Brainerd,MN,56401-3054,218-828-7660,LCSR,10073468,104161,YES
CHRISTUS St Patrick Hospital,524 Doctor Michael Debakey Dr,Lake Charles,LA,70601-5725,337-431-7916,LCSR,10060515,105452,YES
Bronson Advanced Radiology Services,524 S Park St,Kalamazoo,MI,49007-5118,269-341-6789,LCSR,10069058,105722,YES
Cox Medical Center Branson,525 Branson Landing Blvd,Branson,MO,65616-2052,417-335-7223,LCSR,10062729,115225,YES
NewYork-Presbyterian Hospital/Weill Cornell,525 E 68th St,New York,NY,10065-4870,212-746-2746,LCSR,10062091,100414,YES
Summa Akron City Hospital,525 E Market St,Akron,OH,44304-1619,330-375-3000,LCSR,10062639,106663,YES
Envision Imaging of Southlake,525 E Southlake Blvd,Southlake,TX,76092-6235,817-424-5872,Lung Cancer Screening Designated Site,10061417,114395,YES
CentraCare Health System - Melrose,525 Main St W,Melrose,MN,56352-1043,320-256-4231,LCSR,10075760,114401,YES
Avera Queen of Peace,525 N Foster St,Mitchell,SD,57301-2966,605-995-2000,LCSR,10070144,104058,YES
Lebanon Community Hospital,525 N Santiam Hwy,Lebanon,OR,97355-4363,541-258-2101,Lung Cancer Screening Designated Site,10062949,110619,YES
Santa Maria Campus,525 Plaza Dr,Santa Maria,CA,93454-6953,805-739-3848,LCSR,10072741,106861,YES
West Valley Hospital,525 SE Washington St,Dallas,OR,97338-2834,503-623-8301,LCSR,10088094,115042,YES
Copley Hospital,528 Washington Hwy,Morrisville,VT,05661-8973,802-888-8888,LCSR,10065541,112647,YES
MONROE COUNTY MEDICAL CENTER,529 Capp Harlan Rd,Tompkinsville,KY,42167-1808,270-487-9231,LCSR,10062747,110732,YES
NYU Langone Medical Center,530 1st Ave,New York,NY,10016-6402,212-263-7951,LCSR,10073169,109228,YES
MSKCC-David H Koch Center,530 E 74th St,New York,NY,10021-3459,646-888-0531,LCSR,10106105,115124,YES
OSF Saint Francis Medical Center,530 NE Glen Oak Ave,Peoria,IL,61637-0001,309-655-2503,Lung Cancer Screening Designated Site,10067099,100723,YES
University of Louisville Hospital,530 S Jackson St,Louisville,KY,40202-1675,502-562-3000,Lung Cancer Screening Designated Site,10068068,100569,YES
Hancock County Health System,532 1st St NW,Britt,IA,50423-1227,641-843-5000,LCSR,10078312,107722,YES
Westmoreland Hospital,532 W Pittsburgh St,Greensburg,PA,15601-2239,724-834-3582,LCSR,10060990,102145,YES
Mission Imaging Services 534,534 Biltmore Ave,Asheville,NC,28801-4610,828-213-0800,LCSR,10065487,103740,YES
Middlesex Health Outpatient Center,534 Saybrook Rd,Middletown,CT,06457-4754,860-358-6947,Lung Cancer Screening Designated Site,10077342,110774,YES
Middlesex Hospital- Out Patient Center,534 Saybrook Rd Radiology Department,Middletown,CT,06457,,Lung Cancer Screening Designated Site,10096816,618,NO
Steward Medical Group Inc,535 Faunce Corner Rd,North Dartmouth,MA,02747-1242,508-996-3991,LCSR,10066376,106603,YES
Westfields Hospital,535 Hospital Rd,New Richmond,WI,54017-1449,715-243-2600,LCSR,10067667,107481,YES
Olean Medical Practice PLLC,535 Main St,Olean,NY,14760-1500,716-372-0141,Lung Cancer Screening Designated Site,10066655,104785,YES
RAYUS Radiology Smyrna,537 Stonecrest Pkwy,Smyrna,TN,37167-6884,615-890-8999,LCSR,10067007,114849,YES
Opelousas General Health System,539 E Prudhomme St,Opelousas,LA,70570-6499,337-948-5127,LCSR,10065273,106832,YES
BAPTIST M&S IMAGING NORTHCENTRAL,540 Madison Oak Dr Ste 160,San Antonio,TX,78258-3929,210-403-1600,LCSR,10060997,103965,YES
Lancaster General Health Downtown Outpatient Pavilion,540 N Duke St,Lancaster,PA,17602-2374,717-544-5941,Lung Cancer Screening Designated Site,10103651,9411,YES
Bayhealth Medical Center MOB,540 S Governors Ave,Dover,DE,19904-3530,302-744-7781,Lung Cancer Screening Designated Site,10066630,103941,YES
WSMP-Radiology,540 W 5th St,Odessa,TX,79761-5034,432-640-2430,LCSR,10096112,104945,YES
Brigham and Women's Harbor Medical Associates,541 Main St Ste 120,Weymouth,MA,02190-1889,781-952-1234,LCSR,10065995,115384,YES
Geisinger Bloomsburg Hospital,549 Fair St,Bloomsburg,PA,17815-1419,570-387-2100,LCSR,10063117,101551,YES
Upstate University Health Systems Radiology,550 Harrison St,Syracuse,NY,13202-3188,315-464-7711,Lung Cancer Screening Designated Site,10060601,105827,YES
Wesley Medical Center,550 N Hillside St,Wichita,KS,67214-4910,316-962-2420,LCSR,10069158,105019,YES
University Hospital/Indiana University Health,550 North University Boulevard Radiology Department RM UH0026,Indianapolis,IN,46202,,Lung Cancer Screening Designated Site,10096593,83,NO
Mercy Diagnostic Treatment Center,550 Orchard Park Rd Bldg B Radiology Department,West Seneca,NY,14224,716-677-5000,LCSR,10094300,105610,YES
Emory University Hospital Midtown,550 Peachtree St NE,Atlanta,GA,30308-2247,404-686-1514,LCSR,10065592,100634,YES
Montclair Radiology-JC,550 Summit Ave,Jersey City,NJ,07306-2707,973-746-0109,Lung Cancer Screening Designated Site,10066363,107799,YES
IU Health,550 University Blvd,Indianapolis,IN,46202-5149,317-944-4515,Lung Cancer Screening Designated Site,10065472,112400,YES
PETERSON REGIONAL MEDICAL CENTER,551 Hill Country Dr,Kerrville,TX,78028-6085,830-258-7562,LCSR,10073962,106998,YES
Asante,555 Black Oak Dr,Medford,OR,97504-8447,541-789-7150,LCSR,10081310,114723,YES
Conway Regional Imaging Center,555 Club Ln,Conway,AR,72034-3681,501-513-5186,LCSR,10071038,114648,YES
McLeod Health,555 E Cheves St,Florence,SC,29506-2617,843-777-2879,Lung Cancer Screening Designated Site,10064033,100588,YES
McLeod Health Breast Center,555 East Cheves St Womens' Pavilion,Florence,SC,29506,,Lung Cancer Screening Designated Site,10101449,132,NO
Sumner Regional Medical Center,555 Hartsville Pike,Gallatin,TN,37066-2400,615-328-5501,LCSR,10063456,114092,YES
New Century Imaging,555 Kinderkamack Rd,Oradell,NJ,07649-1517,201-599-1311,LCSR,10070399,103894,YES
Lancaster General Health,555 N Duke St,Lancaster,PA,17602-2250,717-544-5511,LCSR,10069531,100973,YES
Insight Imaging-Garfield,555 N Garfield Ave,Monterey Park,CA,91754-1202,952-525-6318,LCSR,10067856,101184,YES
Northside Lawrenceville Imaging,555 Old Norcross Rd Ste 115,Lawrenceville,GA,30046-8703,770-277-0501,LCSR,10076638,110971,YES
CHI HEALTH ST ELIZABETH,555 S 70th St,Lincoln,NE,68510-2462,402-219-7393,LCSR,10065834,105666,YES
Einstein Medical Center Montgomery,559 W Germantown Pike,East Norriton,PA,19403-4250,215-456-6205,Lung Cancer Screening Designated Site,10064875,101847,YES
Grady Memorial Hospital,561 W Central Ave,Delaware,OH,43015-1410,740-615-1082,LCSR,10067241,101302,YES
Mercy Hospital of Buffalo,565 Abbott Rd,Buffalo,NY,14220-2039,716-828-2373,Lung Cancer Screening Designated Site,10078330,104916,YES
Jefferson Regional Medical Center,565 Coal Valley Rd,Clairton,PA,15025-3703,412-469-5732,LCSR,10067124,107710,YES
Paris Regional Medical Center,565 Deshong,Paris,TX,75460-9317,903-737-1582,LCSR,10063237,109445,YES
Maria Parham,566 Ruin Creek Rd,Henderson,NC,27536-2927,0--0,LCSR,10066339,115915,YES
Advanced Medical Imaging Magnolia,570 N Magnolia Ave Ste 103,Clovis,CA,93611-9209,559-447-4004,Lung Cancer Screening Designated Site,10107345,228968,YES
Charles River Medical associates,571 Union Ave,Framingham,MA,01702-5855,508-848-2164,LCSR,10064214,103864,YES
Summit Health Westfield,574 Springfield Ave,Westfield,NJ,07090-1001,908-277-8673,Lung Cancer Screening Designated Site,10070383,114010,YES
Holyoke Medical Center,575 Beech St,Holyoke,MA,01040-2223,413-534-2523,Lung Cancer Screening Designated Site,10075567,103351,YES
Wilkes - Barre General Hospital,575 N River St,Wilkes Barre,PA,18764-0999,570-552-1748,LCSR,10072082,110781,YES
Plainfield Backus Emergency Care Center,582 Norwich Rd,Plainfield,CT,06374-1727,860-889-8331,Lung Cancer Screening Designated Site,10072039,54414,YES
Melrose Wakefield Hospital,585 Lebanon St,Melrose,MA,02176-3225,781-979-3121,Lung Cancer Screening Designated Site,10077454,6575,NO
SVMG BROWNSBURG,590 Pit Rd Ste 200,Brownsburg,IN,46112-7830,317-456-1159,LCSR,10062513,114169,YES
Rhode Island Hospital,593 Eddy St,Providence,RI,02903-4923,401-444-4802,LCSR,10066666,100482,YES
DOYLESTOWN HOSPITAL,595 W State St,Doylestown,PA,18901-2554,215-345-2316,Lung Cancer Screening Designated Site,10065394,112301,YES
Southeastern Regional Medical Center,600 Celebrate Life Pkwy,Newnan,GA,30265-8001,770-400-6717,Lung Cancer Screening Designated Site,10079028,112442,YES
Sutter Gould Medical Foundation,600 Coffee Rd,Modesto,CA,95355-4201,209-550-4755,LCSR,10067792,115054,YES
Lehigh Valley Hospital-Pocono Bartonsville Healthcare Center,600 Commerce Blvd,Stroudsburg,PA,18360-6214,570-476-3427,Lung Cancer Screening Designated Site,10071899,222203,YES
Oregon Medical Group,600 Country Club Rd,Eugene,OR,97401-2240,541-242-4162,LCSR,10070726,103453,YES
Elkhart General Hospital,600 East Blvd,Elkhart,IN,46514-2483,574-296-6420,LCSR,10060052,102117,YES
Methodist Hospitals Inc,600 Grant St,Gary,IN,46402-6001,219-886-4545,LCSR,10061111,105941,YES
SENTARA NORFOLK GENERAL,600 Gresham Dr,Norfolk,VA,23507-1904,757-388-3104,LCSR,10064838,104624,YES
Ascension Genesys Ambulatory Imaging GB,600 Health Park Blvd Ste B,Grand Blanc,MI,48439-2558,810-606-1601,Lung Cancer Screening Designated Site,10063270,107400,YES
University of Wisconsin,600 Highland Ave,Madison,WI,53792-0001,608-265-1946,LCSR,10059987,100478,YES
CMC-Union,600 Hospital Dr,Monroe,NC,28112-6000,704-283-3100,Lung Cancer Screening Designated Site,10071995,101396,YES
Deaconess Midtown Hospital,600 Mary St,Evansville,IN,47710-1658,812-450-2070,LCSR,10069148,112899,YES
NMC Health,600 Medical Center Dr,Newton,KS,67114-8780,316-283-2700,LCSR,10064340,112879,YES
OhioHealth Berger Hospital,600 N Pickaway St,Circleville,OH,43113-1447,740-420-8244,LCSR,10080632,101982,YES
Morris County Hospital,600 N Washington St,Council Grove,KS,66846-1422,620-767-6811,LCSR,10068718,110851,YES
St Luke’s Multispecialty Clinic Blue Springs,600 NE Adams Dairy Pkwy Ste 190,Blue Springs,MO,64014-5494,816-251-6133,LCSR,10069588,111122,YES
Christus Santa Rosa Hospital - New Braunfels,600 North Union Avenue RADIOLOGY DEPARTMENT,New Braunfels,TX,78130,830-643-6162,Lung Cancer Screening Designated Site,10084103,6396,YES
Albany Memorial Hospital,600 Northern Blvd Medcial Imaging,Albany,NY,12204,518-471-3280,LCSR,10073091,109380,YES
UPMC Monroeville Imaging Center,600 Oxford Dr,Monroeville,PA,15146-2355,412-858-0303,Lung Cancer Screening Designated Site,10090230,11673,YES
CHI St Joseph Health - Park Rapids MN,600 Pleasant Ave S,Park Rapids,MN,56470-1431,218-732-3311,LCSR,10090285,114311,YES
Monmouth Medical Center Southern Campus,600 River Ave,Lakewood,NJ,08701-5237,732-363-1900,Lung Cancer Screening Designated Site,10061253,107677,YES
Arnot-Ogden Medical Center,600 Roe Ave,Elmira,NY,14905-1629,607-737-4498,Lung Cancer Screening Designated Site,10080857,102061,YES
UnityPoint Health Pekin,600 S 13th St,Pekin,IL,61554-4936,309-353-0368,Lung Cancer Screening Designated Site,10062590,105529,YES
Parkview Regional Hospital,600 S Bonham St,Mexia,TX,76667-3603,000-000-0000,LCSR,10073546,115438,YES
CareMount medical,600 Westage Business Ctr Dr,Fishkill,NY,12524-2281,914-242-5617,LCSR,10068389,107062,YES
St Elizabeth Dearborn,600 Wilson Creek Rd,Lawrenceburg,IN,47025-2751,812-537-8105,Lung Cancer Screening Designated Site,10094297,104438,YES
Raleigh Radiology Fuquay Varina,601 Attain St Ste 100,Fuquay Varina,NC,27526-1972,919-781-1437,Lung Cancer Screening Designated Site,10091478,115398,YES
Tanner Medical Center/Villa Rica,601 Dallas Hwy,Villa Rica,GA,30180-1202,770-812-3245,LCSR,10098999,114261,YES
Lovelace Medical Center,601 Dr Martin Luther King Jr Ave NE,Albuquerque,NM,87102-3619,505-727-8000,LCSR,10061341,112630,YES
Bothwell Regional Health Center,601 E 14th St,Sedalia,MO,65301-5972,660-826-8833,LCSR,10066373,114162,YES
AdventHealth Altamonte Springs,601 E Altamonte Dr,Altamonte Springs,FL,32701-4802,407-303-2200,LCSR,10061642,106387,YES
Florida Cancer Specialists - LBS,601 E Dixie Ave Ste 1001,Leesburg,FL,34748-7309,352-323-8022,LCSR,10086420,108883,YES
AdvenHealth Orlando,601 E Rollins St,Orlando,FL,32803-1248,407-303-4289,LCSR,10066330,106373,YES
ThedaCare Medical Center - Wild Rose,601 Grove Ave,Wild Rose,WI,54984-6903,920-622-3257,LCSR,10063196,111080,YES
Outpatient Diagnostic Center of Knoxville,601 Hall of Fame Dr,Knoxville,TN,37915-3666,865-525-7100,LCSR,10072325,104620,YES
Mercy Health - Eastgate Medical Center,601 Ivy Gtwy Ste 1400,Cincinnati,OH,45245-1898,513-782-9012,Lung Cancer Screening Designated Site,10076722,226865,YES
Bronson Methodist Hospital,601 John St,Kalamazoo,MI,49007-5341,269--269,LCSR,10065465,105299,YES
Natchitoches Regional Medical Center MSC,601 Keyser Ave,Natchitoches,LA,71457-6020,318-214-4368,LCSR,10107460,115563,YES
Wallowa Memorial Hospital,601 Medical Pkwy,Enterprise,OR,97828-5124,541-426-3111,LCSR,10081680,104745,YES
High Point Regional Health,601 N Elm St,High Point,NC,27262-4331,336-878-6037,LCSR,10069880,110592,YES
Wayne Memorial Hospital,601 Park St,Honesdale,PA,18431-1445,570-253-8100,LCSR,10078552,114368,YES
WellStar Spalding Regional Hospital,601 S 8th St,Griffin,GA,30224-4213,770-229-6908,Lung Cancer Screening Designated Site,10065553,112877,YES
Aspirus Merrill Hospital,601 S Center Ave,Merrill,WI,54452-3404,715-539-2124,LCSR,10094293,110897,YES
St Ritas Putnam County Ambulatory Care Center,601 State Route 224,Ottawa,OH,45875-9239,419-538-6288,LCSR,10088918,105727,YES
Bon Secours Westchester Imaging Center,601 Watkins Centre Pkwy Ste 150,Midlothian,VA,23114-0003,804-893-8484,LCSR,10060829,114000,YES
University Medical Center,602 Indiana Ave,Lubbock,TX,79415-3364,806-775-8200,LCSR,10063378,107511,YES
St Luke's Sacred Heart Imaging at Northampto,602B E 21st St,Northampton,PA,18067-1247,484-526-4683,LCSR,10094556,114418,YES
Sabetha Community Hospital,603 14th St,Sabetha,KS,66534,785-284-2121,LCSR,10077475,108888,YES
Dillon Family Medicine PA,603 N 6th Ave,Dillon,SC,29536-2503,843-774-7336,Lung Cancer Screening Designated Site,10068124,115762,YES
CHI Health Mercy Corning,603 Rosary Dr,Corning,IA,50841-1683,641-322-6230,LCSR,10062045,105669,YES
Kittitas Valley Healthcare,603 S Chestnut St,Ellensburg,WA,98926-3875,509-962-9841,LCSR,10086492,116168,YES
Citizens Baptist Medical Center,604 Stone Ave,Talladega,AL,35160-2217,256-761-4186,LCSR,10075667,112611,YES
Spectrum Health Big Rapids Hospital,605 Oak St,Big Rapids,MI,49307-2048,231-796-8691,LCSR,10066372,106019,YES
Sampson Regional Medical Center,607 Beaman St,Clinton,NC,28328-2603,910-592-8511,LCSR,10068834,114047,YES
Baptist Hospital of Southeast Texas -Orange,608 Strickland Dr CT Scan Department,Orange,TX,77630,409-883-1246,LCSR,10103896,115218,YES
Adair County Memorial Hospital,609 SE Kent St,Greenfield,IA,50849-9454,641-743-7211,LCSR,10087105,114241,YES
Dallas County Hospital,610 10th St,Perry,IA,50220-2221,515-465-7525,LCSR,10073886,113959,YES
Berkshire Medical Center Outpatient Imaging Center,610 North St,Pittsfield,MA,01201-4105,413-881-5463,Lung Cancer Screening Designated Site,10065449,51447,YES
Clinton Memorial Hospital - Master,610 W Main St,Wilmington,OH,45177-2125,937-283-9972,Lung Cancer Screening Designated Site,10063431,112491,YES
Magnolia Regional Health Center,611 Alcorn Dr,Corinth,MS,38834-9321,662-293-1000,LCSR,10069320,104236,YES
Ocean Medical Imaging of DE,611 Federal St Ste 4,Milton,DE,19968-1157,302-684-5151,LCSR,10084230,109319,YES
Northwell Health Imaging @ Great Neck,611 Northern Blvd Ste 250,Great Neck,NY,11021-5209,516-325-7250,Lung Cancer Screening Designated Site,10075926,101440,YES
Fort HealthCare,611 Sherman Ave E,Fort Atkinson,WI,53538-1960,920-568-5426,Lung Cancer Screening Designated Site,10065426,109375,YES
The Carle Foundation Hospital,611 W Park St,Urbana,IL,61801-2529,217-383-4155,LCSR,10062086,105469,YES
Putnam Community Medical Center,611 Zeagler Dr,Palatka,FL,32177-3810,386-326-7771,LCSR,10070473,105156,YES
Ascension Sacred Heart Bay Hospital,615 N Bonita Ave,Panama City,FL,32401-3623,850-416-5864,LCSR,10068022,116000,YES
Memorial Hospital of South Bend,615 N Michigan St,South Bend,IN,46601-1033,574-647-7241,LCSR,10060103,107856,YES
Memorial Hospital,615 N Michigan Street Radiology Department,South Bend,IN,46601,574-647-7241,Lung Cancer Screening Designated Site,10093455,2755,YES
Mason District Hospital,615 N Promenade St Ste 1,Havana,IL,62644-1274,309-543-4431,LCSR,10067664,107274,YES
Person Memorial Hospital,615 Ridge Rd,Roxboro,NC,27573-4629,336-599-2121,LCSR,10070228,107571,YES
Spectrum Health United Hospital,615 S Bower St,Greenville,MI,48838-2614,616-754-4691,LCSR,10074399,106014,YES
Mercy Hospital St Louis,615 S New Ballas Rd,Saint Louis,MO,63141-8221,314-251-6722,LCSR,10067440,105005,YES
Bates County Memorial Hospital,615 W Nursery St,Butler,MO,64730-1840,660-200-7110,LCSR,10066441,115970,YES
Mitchell County Regional Health Center,616 N 8th St,Osage,IA,50461-1456,641-732-6000,LCSR,10076890,107726,YES
Riverside Tappahannock Hospital,618 Hospital Rd,Tappahannock,VA,22560-5000,804-443-6044,LCSR,10064401,106722,YES
Annie Penn Hospital,618 S Main St,Reidsville,NC,27320-5020,336-951-4541,LCSR,10074100,100907,YES
BayCare Outpatient Imaging (St Anthonys),620 10th St N Ste 100,St Petersburg,FL,33705-1407,727-502-4200,LCSR,10068980,105146,YES
St Joseph Mercy Livingston,620 Byron Rd,Howell,MI,48843-1002,734-712-2692,Lung Cancer Screening Designated Site,10069556,104434,YES
Audrain Community Hospital,620 E Monroe St,Mexico,MO,65265-2919,573-582-8539,Lung Cancer Screening Designated Site,10063434,112465,YES
UPMC Altoona_,620 Howard Ave,Altoona,PA,16601-4804,814-889-2690,LCSR,10069172,104114,YES
Northwell Health Imaging @ Great South Bay,620 Main St,Islip,NY,11751-3516,631-439-7237,Lung Cancer Screening Designated Site,10060216,101441,YES
North Arkansas Regional Medical Center,620 N Main St,Harrison,AR,72601-2911,870-414-4432,LCSR,10065657,115692,YES
CIS-Summit,620 Summit Crossing Pl Ste 106,Gastonia,NC,28054-2189,704-834-2741,LCSR,10066659,107386,YES
Waupun Memorial Hospital,620 W Brown St,Waupun,WI,53963-1702,920-926-5577,LCSR,10062557,105079,YES
Paintsville ARH,625 James Trimble Blvd,Paintsville,KY,41240-1055,606-789-3511,Lung Cancer Screening Designated Site,10086915,116719,YES
Ashland Health Center,625 Kentucky St,Ashland,KS,67831-3199,620-635-2241,LCSR,10081411,115854,YES
Zwanger Pesiri Radiology - Lawrence,625 Rockaway Tpke,Lawrence,NY,11559-1029,516-288-3076,LCSR,10073207,113979,YES
Huntington Hill Imaging Center Fair Oaks,625 S Fair Oaks Ave Ste 180,Pasadena,CA,91105-2643,626-229-8969,Lung Cancer Screening Designated Site,10073768,106036,YES
VIDANT BEAUFORT HOSPITAL,628 E 12th St,Washington,NC,27889-3409,252-975-4100,LCSR,10069167,103387,YES
Neosho Memorial Regional Medical Center,629 S Plummer Ave,Chanute,KS,66720-1928,620-432-5388,LCSR,10075140,114431,YES
University Hospitals Elyria Medical Center,630 East River Road,Elyria,OH,44035,440-326-4603,LCSR,10060582,105743,YES
Kettering Health Hamilton,630 Eaton Ave,Hamilton,OH,45013-2767,513-861-2000,LCSR,10075658,101332,YES
Miami Valley Hospital-Springboro,630 N Main St,Springboro,OH,45066-7519,937-748-8420,Lung Cancer Screening Designated Site,10082224,107232,YES
YALOBUSHA GENERAL,630 S Main St,Water Valley,MS,38965-3468,662-473-1411,LCSR,10085715,114634,YES
CHI Missouri Valley,631 N 8th St,Missouri Valley,IA,51555-1102,712-642-9204,LCSR,10061630,105670,YES
AHN Grove City,631 N Broad Street Ext,Grove City,PA,16127-4603,724-450-7423,Lung Cancer Screening Designated Site,10078284,104105,YES
Gwinnett Medical Center 631,631 Professional Dr,Lawrenceville,GA,30046-3367,678-312-8664,LCSR,10070333,106136,YES
